dispute_id,txn_id,dispute_open_date,merchant_id,channel,country,amount_usd,reason_code,dispute_amount_usd,evidence_quality,response_time_days,outcome,cb_fee_usd,risk_tier,tenure_months,monthly_volume_usd,refund_rate
D0000001,T0000074,2025-01-17,M0209,CNP,US,89.36,NOT_RECEIVED,89.36,48,12,LOSS,15.89,High,16,34308.47,0.2676
D0000002,T0000340,2025-11-04,M0168,CNP,DE,79.31,NOT_RECEIVED,55.07,51,6,LOSS,15.55,High,10,35660.1,0.1742
D0000003,T0000560,2024-06-28,M0197,CNP,US,19.91,FRAUD,19.91,54,11,LOSS,15.2,Low,21,13723.91,0.0295
D0000004,T0000587,2025-09-30,M0058,CNP,MX,40.26,NO_AUTH,40.26,65,8,LOSS,15.4,Low,10,23309.44,0.173
D0000005,T0000658,2025-05-21,M0248,CNP,US,16.24,NOT_AS_DESCRIBED,16.24,87,7,WIN,15.16,Low,25,9581.23,0.1155
D0000006,T0000714,2025-01-16,M0009,CNP,US,57.44,NOT_AS_DESCRIBED,57.44,58,6,LOSS,15.57,Low,12,38524.56,0.109
D0000007,T0000765,2025-07-16,M0015,CNP,UK,29.79,NO_AUTH,17.6,71,8,WIN,15.18,Low,43,87103.18,0.2223
D0000008,T0000788,2024-11-26,M0066,CNP,US,153.58,DUPLICATE,153.58,41,13,WIN,16.54,High,20,48133.5,0.2473
D0000009,T0000905,2025-08-26,M0037,CNP,US,94.08,NO_AUTH,94.08,84,6,WIN,15.94,High,51,35095.5,0.3076
D0000010,T0000963,2024-12-16,M0041,CNP,US,16.94,NOT_AS_DESCRIBED,16.94,58,8,LOSS,15.17,Low,10,26980.41,0.2216
D0000011,T0001014,2024-07-16,M0168,CNP,US,39.74,DUPLICATE,39.74,42,10,WIN,15.4,High,10,35660.1,0.1742
D0000012,T0001046,2025-12-08,M0229,CNP,US,33.54,FRAUD,33.54,88,5,WIN,15.34,Medium,33,65258.65,0.1468
D0000013,T0001150,2025-11-25,M0216,CNP,DE,33.03,NO_AUTH,33.03,70,10,LOSS,15.33,Low,17,50490.57,0.1177
D0000014,T0001162,2025-01-27,M0193,CNP,AU,54.17,NOT_AS_DESCRIBED,54.17,69,5,LOSS,15.54,Medium,36,82395.85,0.0807
D0000015,T0001233,2024-02-02,M0074,CNP,US,71.47,PROCESSING_ERROR,71.47,47,9,LOSS,15.71,Low,8,40344.2,0.08
D0000016,T0001253,2025-05-20,M0229,CNP,US,34.24,NO_AUTH,34.24,60,7,LOSS,15.34,Medium,33,65258.65,0.1468
D0000017,T0001328,2024-10-21,M0188,CNP,US,44.16,NOT_RECEIVED,44.16,73,3,WIN,15.44,Low,23,35717.88,0.1445
D0000018,T0001366,2024-02-20,M0143,CNP,US,52.93,NO_AUTH,52.93,65,9,LOSS,15.53,Low,17,10596.33,0.1855
D0000019,T0001388,2024-06-20,M0151,CNP,MX,18.28,NOT_AS_DESCRIBED,9.07,88,4,LOSS,15.09,Low,51,20560.18,0.0485
D0000020,T0001435,2025-08-12,M0217,CNP,US,86.04,NOT_RECEIVED,86.04,51,8,LOSS,15.86,High,5,61459.55,0.238
D0000021,T0001462,2024-02-22,M0056,CP,DE,29.26,FRAUD,29.26,29,6,LOSS,15.29,High,3,56321.5,0.1856
